Time,Original Path,Original Filename,New Filename,Status,Source
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Kinderkraft Nubi 2 Lightweight Stroller With Automatic Folding_pink.jpg,Kinderkraft Nubi 2 Lightweight Stroller With Automatic Folding_pink.jpg,271_kinderkraft_kinderkraft nubi 2 lightweight stroller with automatic folding_pink__po_1.jpg,DryRun,BrandFallback+Product
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Smart Parent Bundle A_1 copy.jpg,Smart Parent Bundle A_1 copy.jpg,__smart parent bundle a_1 copy__po_1.jpg,DryRun,NotFound
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Smart Parent Bundle A_1.jpg,Smart Parent Bundle A_1.jpg,__smart parent bundle a_1__po_2.jpg,DryRun,NotFound
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Smart Parent Bundle B_1.jpg,Smart Parent Bundle B_1.jpg,__smart parent bundle b_1__po_3.jpg,DryRun,NotFound
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\smarTrike Traveler 4 In 1 Convertible Stroller_midnight blue.jpg,smarTrike Traveler 4 In 1 Convertible Stroller_midnight blue.jpg,infantree_smartrike_smartrike traveler 4 in 1 convertible stroller_midnight blue__po_1.jpg,DryRun,BrandFallback+Product
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Special Bundle.jpg,Special Bundle.jpg,__special bundle__po_4.jpg,DryRun,NotFound
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\SwingMaxi 2.0 Breastpump.jpg,SwingMaxi 2.0 Breastpump.jpg,__swingmaxi 2.0 breastpump__po_5.jpg,DryRun,NotFound
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Toyfactory_baby rocker.jpg,Toyfactory_baby rocker.jpg,__toyfactory_baby rocker__po_6.jpg,DryRun,NotFound
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\Thomson\Thomson-medical.jpg,Thomson-medical.jpg,__thomson-medical_1.jpg,DryRun,NotFound
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\Thomson\Thomson-Medical_Bloom-Maternity.jpg,Thomson-Medical_Bloom-Maternity.jpg,__thomson-medical_bloom-maternity_2.jpg,DryRun,NotFound
